Date,Team,Player,Acquired,Relinquished,Notes,EstimatedDaysOut
2017-02-01,Nets,• Joe Harris,• Joe Harris,,activated from IL,9.0
2017-03-04,Nets,• Joe Harris,,• Joe Harris,placed on IL with concussion,
2017-03-17,Nets,• Joe Harris,,• Joe Harris,sprained left shoulder (out for season),
2017-12-09,Nets,• Joe Harris,,• Joe Harris,illness (DTD),
2017-12-12,Nets,• Joe Harris,• Joe Harris,,returned to lineup,3.0
2018-04-09,Nets,• Joe Harris,,• Joe Harris,sprained left ankle (out for season),
2018-11-30,Nets,• Joe Harris,,• Joe Harris,placed on IL with adductor injury,
2018-12-03,Nets,• Joe Harris,• Joe Harris,,activated from IL,3.0
2018-12-03,Nets,• Joe Harris,,• Joe Harris,adductor injury (DTD),
2018-12-05,Nets,• Joe Harris,• Joe Harris,,returned to lineup,2.0
2019-01-07,Nets,• Joe Harris,,• Joe Harris,placed on IL with sprained right ankle,
2019-01-09,Nets,• Joe Harris,• Joe Harris,,activated from IL,2.0
2019-02-04,Nets,• Joe Harris,,• Joe Harris,right hip injury (DTD),
2019-02-06,Nets,• Joe Harris,• Joe Harris,,returned to lineup,2.0
2019-04-10,Nets,• Joe Harris,,• Joe Harris,placed on IL with sore right foot,
2019-04-12,Nets,• Joe Harris,• Joe Harris,,activated from IL,2.0
2020-01-17,Nets,• Joe Harris,,• Joe Harris,sore lower back (DTD),
2020-01-18,Nets,• Joe Harris,,• Joe Harris,placed on IL with sore lower back,
2020-01-19,Nets,• Joe Harris,• Joe Harris,,activated from IL,1.0
2020-03-11,Nets,• Joe Harris,,• Joe Harris,sprained right ankle (DTD),
2020-08-03,Nets,• Joe Harris,,• Joe Harris,back injury (DTD),
2020-08-05,Nets,• Joe Harris,• Joe Harris,,returned to lineup,2.0
2020-08-10,Nets,• Joe Harris,,• Joe Harris,left groin injury (DTD),
2020-08-12,Nets,• Joe Harris,• Joe Harris,,returned to lineup,2.0
2021-05-12,Nets,• Joe Harris,,• Joe Harris,placed on IL with sore left hip / glute muscle injury,
2021-05-22,Nets,• Joe Harris,• Joe Harris,,activated from IL,10.0
2021-11-15,Nets,• Joe Harris,,• Joe Harris,placed on IL with sprained left ankle (out for season),
2021-11-29,Nets,• Joe Harris,,• Joe Harris,surgery on left ankle (out for season),
2022-10-19,Nets,• Joe Harris,,• Joe Harris,placed on IL with foot injury,
2022-10-21,Nets,• Joe Harris,• Joe Harris,,activated from IL,2.0
2022-10-27,Nets,• Joe Harris,,• Joe Harris,placed on IL with ankle injury,
2022-10-29,Nets,• Joe Harris,• Joe Harris,,activated from IL,2.0
2022-12-23,Nets,• Joe Harris,,• Joe Harris,placed on IL with sore left knee,
2023-01-02,Nets,• Joe Harris,• Joe Harris,,activated from IL,10.0
2023-11-06,Pistons,• Joe Harris,,• Joe Harris,sprained right shoulder (DTD),
2023-11-10,Pistons,• Joe Harris,,• Joe Harris,placed on IL with sprained right shoulder,
2023-12-08,Pistons,• Joe Harris,• Joe Harris,,activated from IL,28.0
2015-12-16,Jazz,• Joe Ingles,,• Joe Ingles,oral surgery (DTD),
2015-12-18,Jazz,• Joe Ingles,• Joe Ingles,,returned to lineup,2.0
2021-01-08,Jazz,• Joe Ingles,,• Joe Ingles,placed on IL with right Achilles injury,
2021-01-10,Jazz,• Joe Ingles,• Joe Ingles,,activated from IL,2.0
2021-01-12,Jazz,• Joe Ingles,,• Joe Ingles,placed on IL with sore right Achilles,
2021-01-19,Jazz,• Joe Ingles,• Joe Ingles,,activated from IL,7.0
2021-04-13,Jazz,• Joe Ingles,,• Joe Ingles,placed on IL with sore left knee,
2021-04-16,Jazz,• Joe Ingles,• Joe Ingles,,activated from IL,3.0
2021-12-31,Jazz,• Joe Ingles,,• Joe Ingles,placed on IL with strained lower back,
2022-01-01,Jazz,• Joe Ingles,• Joe Ingles,,activated from IL,1.0
2022-01-04,Jazz,• Joe Ingles,,• Joe Ingles,placed on IL with NBA health and safety protocols,
2022-01-12,Jazz,• Joe Ingles,• Joe Ingles,,activated from IL,8.0
2022-01-24,Jazz,• Joe Ingles,,• Joe Ingles,sprained right ankle (DTD),
2022-01-25,Jazz,• Joe Ingles,• Joe Ingles,,returned to lineup,1.0
2022-01-31,Jazz,• Joe Ingles,,• Joe Ingles,torn ACL in left knee (out for season),
2022-02-02,Jazz,• Joe Ingles,,• Joe Ingles,placed on IL with torn ACL in left knee (out for season),
2022-10-20,Bucks,• Joe Ingles,,• Joe Ingles,placed on IL with knee injury,
2022-12-19,Bucks,• Joe Ingles,• Joe Ingles,,activated from IL,60.0
2023-01-04,Bucks,• Joe Ingles,,• Joe Ingles,placed on IL,
2023-01-06,Bucks,• Joe Ingles,• Joe Ingles,,activated from IL,2.0
2023-01-12,Bucks,• Joe Ingles,,• Joe Ingles,placed on IL with left knee injury,
2023-01-17,Bucks,• Joe Ingles,• Joe Ingles,,activated from IL,5.0
2023-02-08,Bucks,• Joe Ingles,,• Joe Ingles,placed on IL with left knee injury,
2023-02-10,Bucks,• Joe Ingles,• Joe Ingles,,activated from IL,2.0
2023-12-17,Magic,• Joe Ingles,,• Joe Ingles,sprained left ankle (DTD),
2023-12-20,Magic,• Joe Ingles,,• Joe Ingles,placed on IL with sprained left ankle,
2024-01-11,Magic,• Joe Ingles,• Joe Ingles,,activated from IL,22.0
2024-01-13,Magic,• Joe Ingles,,• Joe Ingles,placed on IL with left ankle injury,
2024-01-14,Magic,• Joe Ingles,• Joe Ingles,,activated from IL,1.0
2024-11-27,Timberwolves,• Joe Ingles,,• Joe Ingles,placed on IL with strained left calf,
2024-12-27,Timberwolves,• Joe Ingles,• Joe Ingles,,activated from IL,30.0
2017-01-14,Jazz,• Joe Johnson,,• Joe Johnson,placed on IL for rest,
2017-01-16,Jazz,• Joe Johnson,• Joe Johnson,,activated from IL,2.0
2017-03-03,Jazz,• Joe Johnson,,• Joe Johnson,left groin injury (DTD),
2017-03-05,Jazz,• Joe Johnson,,• Joe Johnson,strained left groin (DTD),
2017-03-08,Jazz,• Joe Johnson,• Joe Johnson,,returned to lineup,3.0
2017-10-31,Jazz,• Joe Johnson,,• Joe Johnson,sore right wrist (DTD),
2017-11-01,Jazz,• Joe Johnson,,• Joe Johnson,placed on IL with sore right wrist,
2017-12-15,Jazz,• Joe Johnson,• Joe Johnson,,activated from IL,44.0
2018-02-03,Jazz,• Joe Johnson,,• Joe Johnson,rest (DTD),
2018-03-05,Rockets,• Joe Johnson,,• Joe Johnson,illness (DTD),
2018-03-06,Rockets,• Joe Johnson,,• Joe Johnson,placed on IL with illness,
2018-03-09,Rockets,• Joe Johnson,• Joe Johnson,,activated from IL,3.0
2022-03-12,Spurs,• Joe Wieskamp,,• Joe Wieskamp,illness (DTD),
2022-03-14,Spurs,• Joe Wieskamp,• Joe Wieskamp,,returned to lineup,2.0
2023-03-22,Raptors,• Joe Wieskamp,,• Joe Wieskamp,placed on IL with strained right hamstring,
2023-03-31,Raptors,• Joe Wieskamp,• Joe Wieskamp,,activated from IL,9.0
2016-03-04,Pacers,• Joe Young,,• Joe Young,knee injury (DTD),
2016-03-13,Pacers,• Joe Young,• Joe Young,,returned to lineup,9.0
2016-11-23,Pacers,• Joe Young,,• Joe Young,illness (DTD),
2016-11-25,Pacers,• Joe Young,• Joe Young,,returned to lineup,2.0
2017-03-08,Pacers,• Joe Young,,• Joe Young,placed on IL,
2017-03-15,Pacers,• Joe Young,• Joe Young,,activated from IL,7.0
2017-03-19,Pacers,• Joe Young,,• Joe Young,placed on IL,
2017-03-26,Pacers,• Joe Young,• Joe Young,,activated from IL,7.0
2017-04-17,Pacers,• Joe Young,,• Joe Young,placed on IL,
2018-04-20,Pacers,• Joe Young,,• Joe Young,illness (DTD),
2018-04-22,Pacers,• Joe Young,• Joe Young,,returned to lineup,2.0
2017-02-24,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-03-01,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,5.0
2017-03-03,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-03-04,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,1.0
2017-03-06,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-03-08,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,2.0
2017-03-18,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-03-19,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,1.0
2017-03-23,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-03-25,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,2.0
2017-03-27,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-04-02,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,6.0
2017-04-10,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-04-15,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-04-22,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,7.0
2017-04-25,Spurs,• Joel Anthony,,• Joel Anthony,placed on IL,
2017-05-11,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,16.0
2017-05-16,Spurs,• Joel Anthony,• Joel Anthony,,activated from IL,
2017-01-02,Jazz,• Joel Bolomboy,,• Joel Bolomboy,placed on IL,
2017-03-06,Jazz,• Joel Bolomboy,• Joel Bolomboy,,activated from IL,63.0
2017-04-08,Jazz,• Joel Bolomboy,,• Joel Bolomboy,placed on IL,
2017-04-10,Jazz,• Joel Bolomboy,• Joel Bolomboy,,activated from IL,2.0
2017-04-12,Jazz,• Joel Bolomboy,,• Joel Bolomboy,placed on IL,
2017-04-15,Jazz,• Joel Bolomboy,,• Joel Bolomboy,placed on IL,
2017-04-18,Jazz,• Joel Bolomboy,• Joel Bolomboy,,activated from IL,3.0
2017-04-28,Jazz,• Joel Bolomboy,,• Joel Bolomboy,placed on IL,
2017-05-02,Jazz,• Joel Bolomboy,• Joel Bolomboy,,activated from IL,4.0
2017-10-21,Bucks,• Joel Bolomboy,,• Joel Bolomboy,placed on IL,
2017-11-10,Bucks,• Joel Bolomboy,• Joel Bolomboy,,activated from IL,20.0
2017-12-15,Bucks,• Joel Bolomboy,,• Joel Bolomboy,placed on IL,
2015-10-28,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with foot injury,
2016-03-06,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with foot injury (out for season),
2016-11-02,76ers,• Joel Embiid,,• Joel Embiid,rehab of foot injury (DTD),
2016-11-09,76ers,• Joel Embiid,,• Joel Embiid,rehab of foot injury (DTD),
2016-11-12,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2016-11-16,76ers,• Joel Embiid,,• Joel Embiid,DNP,
2016-11-25,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2016-11-27,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2016-11-28,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2016-12-02,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,4.0
2016-12-03,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2016-12-05,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2016-12-06,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2016-12-08,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2016-12-10,76ers,• Joel Embiid,,• Joel Embiid,right elbow inflammation / rest (DTD),
2016-12-14,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,4.0
2016-12-29,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2017-01-20,76ers,• Joel Embiid,,• Joel Embiid,bruised left knee (DTD),
2017-01-21,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2017-01-24,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,3.0
2017-01-24,76ers,• Joel Embiid,,• Joel Embiid,bruised left knee (DTD),
2017-01-27,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,3.0
2017-01-29,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2017-01-30,76ers,• Joel Embiid,,• Joel Embiid,bruised left knee (out for season),
2017-02-02,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2017-02-04,76ers,• Joel Embiid,,• Joel Embiid,sore left knee (out for seaon),
2017-02-06,76ers,• Joel Embiid,,• Joel Embiid,bruised left knee (out for season),
2017-02-09,76ers,• Joel Embiid,,• Joel Embiid,rest (DTD),
2017-02-11,76ers,• Joel Embiid,,• Joel Embiid,bruised left knee (out for season),
2017-03-01,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with torn meniscus in left knee (out for season),
2017-03-24,76ers,• Joel Embiid,,• Joel Embiid,surgery on left knee to repair torn meniscus (out for season),
2017-10-21,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with rehab of left knee,
2017-10-23,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2017-11-07,76ers,• Joel Embiid,,• Joel Embiid,placed on IL for rest,
2017-11-09,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2017-11-30,76ers,• Joel Embiid,,• Joel Embiid,placed on IL,
2017-12-02,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2017-12-09,76ers,• Joel Embiid,,• Joel Embiid,placed on IL for rest,
2017-12-10,76ers,• Joel Embiid,,• Joel Embiid,back injury (DTD),
2017-12-12,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2017-12-17,76ers,• Joel Embiid,,• Joel Embiid,back injury (DTD),
2017-12-18,76ers,• Joel Embiid,,• Joel Embiid,placed on IL for rest,
2017-12-23,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,5.0
2017-12-30,76ers,• Joel Embiid,,• Joel Embiid,back injury (DTD),
2017-12-31,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,1.0
2018-01-29,76ers,• Joel Embiid,,• Joel Embiid,placed on IL for rest,
2018-01-31,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2018-02-14,76ers,• Joel Embiid,,• Joel Embiid,sore right ankle (DTD),
2018-02-22,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,8.0
2018-03-29,76ers,• Joel Embiid,,• Joel Embiid,fractured left orbital bone (out indefinitely),
2018-03-30,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with fractured left orbital bone / concussion,
2018-03-31,76ers,• Joel Embiid,,• Joel Embiid,surgery to repair fractured left orbital bone (out indefinitely),
2018-04-19,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,19.0
2018-12-07,76ers,• Joel Embiid,,• Joel Embiid,placed on IL,
2018-12-10,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,3.0
2018-12-30,76ers,• Joel Embiid,,• Joel Embiid,sore left knee (DTD),
2019-01-01,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2019-01-11,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore left ankle,
2019-01-13,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2019-01-26,76ers,• Joel Embiid,,• Joel Embiid,placed on IL,
2019-01-29,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,3.0
2019-02-20,76ers,• Joel Embiid,,• Joel Embiid,sore left knee (DTD),
2019-02-21,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore left knee,
2019-03-10,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,17.0
2019-04-08,76ers,• Joel Embiid,,• Joel Embiid,sore left knee (DTD),
2019-04-09,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore left knee,
2019-04-13,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,4.0
2019-04-18,76ers,• Joel Embiid,,• Joel Embiid,sore left knee (DTD),
2019-04-20,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2019-10-26,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sprained right ankle,
2019-10-28,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2019-12-06,76ers,• Joel Embiid,,• Joel Embiid,bruised left hip (DTD),
2019-12-07,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with bruised left hip,
2019-12-08,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,1.0
2019-12-15,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with illness,
2019-12-17,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2019-12-31,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore left knee,
2020-01-02,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2020-01-09,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with left hand injury,
2020-01-28,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,19.0
2020-02-27,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sprained left shoulder,
2020-03-11,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,13.0
2020-08-10,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with left ankle injury,
2020-08-12,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2020-12-27,76ers,• Joel Embiid,,• Joel Embiid,back injury (DTD),
2020-12-29,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2021-01-09,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with back injury,
2021-01-11,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2021-01-15,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore right knee,
2021-01-19,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,4.0
2021-01-25,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with back injury,
2021-01-26,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,1.0
2021-01-31,76ers,• Joel Embiid,,• Joel Embiid,back injury (DTD),
2021-02-02,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2021-02-15,76ers,• Joel Embiid,,• Joel Embiid,back injury (DTD),
2021-02-17,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2021-03-11,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with NBA health and safety protocols,
2021-03-12,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,1.0
2021-03-13,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with bone bruise in left knee,
2021-04-03,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,21.0
2021-04-04,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with left knee injury,
2021-04-05,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,1.0
2021-04-24,76ers,• Joel Embiid,,• Joel Embiid,sore right shoulder (DTD),
2021-04-26,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2021-05-11,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with illness,
2021-05-13,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2021-05-16,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with illness,
2021-05-23,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,7.0
2021-06-02,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with torn meniscus in right knee,
2021-06-06,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,4.0
2021-11-01,76ers,• Joel Embiid,,• Joel Embiid,placed on IL,
2021-11-03,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2021-11-08,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with NBA health and safety protocols,
2021-11-27,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,19.0
2021-12-13,76ers,• Joel Embiid,,• Joel Embiid,sore ribs (DTD),
2021-12-15,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,2.0
2022-03-21,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore back,
2022-03-22,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,1.0
2022-04-10,76ers,• Joel Embiid,,• Joel Embiid,sore right knee (DTD),
2022-04-15,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,5.0
2022-04-29,76ers,• Joel Embiid,,• Joel Embiid,"placed on IL with orbital fracture, concussion",
2022-05-06,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,7.0
2022-10-31,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with illness,
2022-11-07,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,7.0
2022-11-22,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sprained left foot,
2022-11-28,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,6.0
2023-01-04,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore left foot,
2023-01-10,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,6.0
2023-01-21,76ers,• Joel Embiid,,• Joel Embiid,left foot injury (DTD),
2023-01-25,76ers,• Joel Embiid,• Joel Embiid,,returned to lineup,4.0
2023-03-01,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore left foot,
2023-03-02,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,1.0
2023-03-27,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with right calf injury,
2023-03-29,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2023-04-21,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sprained right knee,
2023-05-03,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,12.0
2023-11-22,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore left hip,
2023-11-25,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,3.0
2023-11-29,76ers,• Joel Embiid,,• Joel Embiid,illness (DTD),
2023-12-01,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with illness,
2023-12-04,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,3.0
2023-12-24,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sprained right ankle,
2024-01-01,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,8.0
2024-01-06,76ers,• Joel Embiid,,• Joel Embiid,left knee injury (DTD),
2024-01-10,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with left knee injury,
2024-01-15,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,5.0
2024-01-27,76ers,• Joel Embiid,,• Joel Embiid,sore left knee (DTD),
2024-01-29,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore left knee,
2024-01-30,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,1.0
2024-01-31,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with torn lateral meniscus in left knee,
2024-02-01,76ers,• Joel Embiid,,• Joel Embiid,surgery on left knee to repair torn lateral meniscus (out indefinitely) (date approximate),
2024-04-02,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,61.0
2024-04-07,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with left knee injury,
2024-04-09,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,2.0
2024-04-14,76ers,• Joel Embiid,,• Joel Embiid,left knee injury (out for season),
2024-10-22,76ers,• Joel Embiid,,• Joel Embiid,knee injury (DTD),
2024-11-22,76ers,• Joel Embiid,,• Joel Embiid,sore knee (DTD),
2024-11-24,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sore knee,
2024-12-08,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,14.0
2024-12-15,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with sinus fracture,
2024-12-20,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,5.0
2025-01-06,76ers,• Joel Embiid,,• Joel Embiid,sprained left foot (DTD),
2025-01-17,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with various injuries,
2025-02-04,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,18.0
2025-02-12,76ers,• Joel Embiid,,• Joel Embiid,placed on IL with knee injury,
2025-02-19,76ers,• Joel Embiid,• Joel Embiid,,activated from IL,7.0
2025-02-24,76ers,• Joel Embiid,,• Joel Embiid,left knee injury (out for season),
2025-04-09,76ers,• Joel Embiid,,• Joel Embiid,arthroscopic surgery on left knee (out for season),
2015-11-03,Nuggets,• Joffrey Lauvergne,,• Joffrey Lauvergne,strained lower back (DTD),
2015-11-18,Nuggets,• Joffrey Lauvergne,,• Joffrey Lauvergne,placed on IL,
2015-11-20,Nuggets,• Joffrey Lauvergne,• Joffrey Lauvergne,,activated from IL,2.0
2015-11-20,Nuggets,• Joffrey Lauvergne,,• Joffrey Lauvergne,strained lower back (DTD),
2015-11-22,Nuggets,• Joffrey Lauvergne,,• Joffrey Lauvergne,placed on IL with strained lower back,
2015-11-27,Nuggets,• Joffrey Lauvergne,• Joffrey Lauvergne,,activated from IL,5.0
2016-01-27,Nuggets,• Joffrey Lauvergne,,• Joffrey Lauvergne,infection in right toe (DTD),
2016-01-28,Nuggets,• Joffrey Lauvergne,,• Joffrey Lauvergne,placed on IL with infection in right toe,
2016-01-30,Nuggets,• Joffrey Lauvergne,• Joffrey Lauvergne,,activated from IL,2.0
2016-02-01,Nuggets,• Joffrey Lauvergne,• Joffrey Lauvergne,,activated from IL (P),
2016-04-13,Nuggets,• Joffrey Lauvergne,,• Joffrey Lauvergne,back injury (out for season),
2017-10-24,Spurs,• Joffrey Lauvergne,,• Joffrey Lauvergne,sprained right ankle (DTD),
2017-10-27,Spurs,• Joffrey Lauvergne,,• Joffrey Lauvergne,sprained right ankle (DTD),
2017-10-29,Spurs,• Joffrey Lauvergne,,• Joffrey Lauvergne,placed on IL with sprained right ankle,
2017-11-14,Spurs,• Joffrey Lauvergne,• Joffrey Lauvergne,,activated from IL,16.0
2017-12-04,Spurs,• Joffrey Lauvergne,,• Joffrey Lauvergne,finger injury (DTD),
2017-12-09,Spurs,• Joffrey Lauvergne,• Joffrey Lauvergne,,returned to lineup,5.0
2022-12-03,Blazers,• John Butler Jr.,,• John Butler Jr.,placed on IL,
2022-12-04,Blazers,• John Butler Jr.,,• John Butler Jr.,placed on IL with illness,
2017-12-02,Hawks,• John Collins ,,• John Collins ,left shoulder injury (out indefinitely),
2017-12-04,Hawks,• John Collins ,,• John Collins ,placed on IL with left shoulder injury,
2017-12-14,Hawks,• John Collins ,• John Collins ,,activated from IL,10.0
2018-03-19,Hawks,• John Collins ,,• John Collins ,sprained left ankle (DTD),
2018-03-23,Hawks,• John Collins ,• John Collins ,• John Collins ,returned to lineup,
2018-10-17,Hawks,• John Collins ,,• John Collins ,placed on IL with left ankle injury,
2018-11-17,Hawks,• John Collins ,• John Collins ,,activated from IL,31.0
2018-12-23,Hawks,• John Collins ,,• John Collins ,placed on IL with sprained left ankle,
2018-12-26,Hawks,• John Collins ,• John Collins ,,activated from IL,3.0
2019-03-01,Hawks,• John Collins ,,• John Collins ,placed on IL with flu,
2019-03-06,Hawks,• John Collins ,• John Collins ,,activated from IL,5.0
2020-01-04,Hawks,• John Collins ,,• John Collins ,placed on IL with back injury,
2020-01-06,Hawks,• John Collins ,• John Collins ,,activated from IL,2.0
2021-03-31,Hawks,• John Collins ,,• John Collins ,placed on IL with sprained left ankle,
2021-04-18,Hawks,• John Collins ,• John Collins ,,activated from IL,18.0
2021-12-26,Hawks,• John Collins ,,• John Collins ,placed on IL with NBA health and safety protocols,
2022-01-07,Hawks,• John Collins ,• John Collins ,,activated from IL,12.0
2022-02-13,Hawks,• John Collins ,,• John Collins ,placed on IL with right foot injury,
2022-03-04,Hawks,• John Collins ,• John Collins ,,activated from IL,19.0
2022-03-13,Hawks,• John Collins ,,• John Collins ,placed on IL with strained right foot,
2022-04-17,Hawks,• John Collins ,• John Collins ,,activated from IL,35.0
2022-12-01,Hawks,• John Collins ,,• John Collins ,placed on IL with sprained left ankle,
2022-12-19,Hawks,• John Collins ,• John Collins ,,activated from IL,18.0
